1. Edad;2. Sexo;3. ¿En qué Localidad vive?;4. Los recibos de servicios públicos que recibe en su hogar, corresponden a: ;Primera respuesta seleccionada;Segunda respuesta seleccionada;Tercera respuesta seleccionada;;;;;;;
60 o más;Femenino;Kennedy;Estrato 4;La basura tirada en la calle;, El incremento de las tarifas del servicio público de aseo;, Los recicladores arrojan las basuras al piso y se lievan las bolsas, la solucion que no les compren las bolsas negras usadas y asi evitaremos el reguero de basuras;;;;;;;
60 o más;Femenino;Kennedy;Estrato 3;TODOS LOS ANTERIORES ;;;;;;;;;
45 a 59 años;Masculino;San Cristóbal;Estrato 2;La inseguridad que se genera en entornos llenos de basuras;, La basura tirada en la calle;, El incremento de las tarifas del servicio público de aseo;, La falta de cultura ciudadana sacan la basura en horas qué no pasa el carro y fuera de eso las acumulan en las esquinas ;;;;;;
60 o más;Masculino;San Cristóbal;Estrato 1;El incremento de las tarifas del servicio público de aseo;, La basura tirada en la calle;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;;;;;;;
60 o más;Femenino;Puente Aranda;Estrato 3;El incremento de las tarifas del servicio público de aseo;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, El deterioro ambiental;, La basura tirada en la calle;;;;;;
45 a 59 años;Femenino;San Cristóbal;Estrato 2;La inseguridad que se genera en entornos llenos de basuras;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, Los malos olores, ratones y focos de enfermedades;, El incremento de las tarifas del servicio público de aseo;, La basura tirada en la calle;, ;;;;
60 o más;Masculino;San Cristóbal;Estrato 2;Los malos olores, ratones y focos de enfermedades;, La inseguridad que se genera en entornos llenos de basuras;, La basura tirada en la calle;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, El incremento de las tarifas del servicio público de aseo;, Los contenedores y canecas para disposición de basuras;, El deterioro ambiental;, Pésimo barrido ;;
45 a 59 años;Masculino;Barrios Unidos;Estrato 4;El incremento de las tarifas del servicio público de aseo;;;;;;;;;
45 a 59 años;Masculino;San Cristóbal;Estrato 3;El deterioro ambiental;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, La inseguridad que se genera en entornos llenos de basuras;;;;;;;
18 a 29 años;Masculino;Bosa;Estrato 2;Los horarios y frecuencias de recolección de basuras;, El deterioro ambiental;, La inseguridad que se genera en entornos llenos de basuras;, Los malos olores, ratones y focos de enfermedades;, La basura tirada en la calle;, El incremento de las tarifas del servicio público de aseo;;;;
60 o más;Femenino;San Cristóbal;Estrato 2;La inseguridad que se genera en entornos llenos de basuras;, El deterioro ambiental;, El incremento de las tarifas del servicio público de aseo;;;;;;;
30 a 44 años;Femenino;Puente Aranda;Estrato 3;La basura tirada en la calle;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, El incremento de las tarifas del servicio público de aseo;;;;;;;
60 o más;Femenino;Usaquén;Estrato 4;El deterioro ambiental;, La basura tirada en la calle;, Los malos olores, ratones y focos de enfermedades;, El incremento de las tarifas del servicio público de aseo;;;;;;
45 a 59 años;Femenino;Teusaquillo;Estrato 5;El deterioro ambiental;, El incremento de las tarifas del servicio público de aseo;, La inseguridad que se genera en entornos llenos de basuras;, Poca generación de nuevos empleos en torno al tema del manejo de basuras;, Los malos olores, ratones y focos de enfermedades;, Los contenedores y canecas para disposición de basuras;, La basura tirada en la calle;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;;
45 a 59 años;Femenino;Usaquén;Estrato 1;La basura tirada en la calle;, Poca generación de nuevos empleos en torno al tema del manejo de basuras;, Los contenedores y canecas para disposición de basuras;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, El deterioro ambiental;, Los malos olores, ratones y focos de enfermedades;, La inseguridad que se genera en entornos llenos de basuras;;;
30 a 44 años;Femenino;Usaquén;Estrato 1;El incremento de las tarifas del servicio público de aseo;, La basura tirada en la calle;, El deterioro ambiental;, La inseguridad que se genera en entornos llenos de basuras;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, Los malos olores, ratones y focos de enfermedades;;;;
30 a 44 años;Femenino;Suba;Estrato 5;Los malos olores, ratones y focos de enfermedades;, La basura tirada en la calle;, Poca generación de nuevos empleos en torno al tema del manejo de basuras;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;;;;;;
45 a 59 años;Femenino;Usaquén;Estrato 1;La falta de cultura de reciclaje en el hogar y en la ciudadanía;, Los malos olores, ratones y focos de enfermedades;, La basura tirada en la calle;, falta de capacitacion de las personas recicladoras en el momento de hacer su trabajo, los habitantes dejas las basuras en los contenedores o en las respectivas bolsas y los SEÑORES Y SEÑORAS RECICLADORES, van y dejas toda la basura regada por todo lado;;; entonces de nada sirve que las entidad  hagas campañas con los habitantes si  QUIENES SE DEDICAN AL RECICLAJE no tienen tacticas o utilizan un metodo para que los compañeros que llegan despues a reciclar ya sepan que esa bolsa o contenedor ya fue revisado por otro compañero;;;
45 a 59 años;Femenino;Usaquén;Estrato 1;La falta de cultura de reciclaje en el hogar y en la ciudadanía;, El incremento de las tarifas del servicio público de aseo;, La basura tirada en la calle;, ;;;;;;
18 a 29 años;Femenino;Usaquén;Estrato 1;La falta de cultura de reciclaje en el hogar y en la ciudadanía;;;;;;;;;
45 a 59 años;Femenino;Suba;Estrato 5;El incremento de las tarifas del servicio público de aseo;, Los contenedores y canecas para disposición de basuras;, La basura tirada en la calle;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, Los malos olores, ratones y focos de enfermedades;;;;;
60 o más;Femenino;San Cristóbal;Estrato 3;Los contenedores y canecas para disposición de basuras;, Los malos olores, ratones y focos de enfermedades;, La basura tirada en la calle;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, La inseguridad que se genera en entornos llenos de basuras;;;;;
45 a 59 años;Masculino;Usaquén;Estrato 2;La basura tirada en la calle;, La inseguridad que se genera en entornos llenos de basuras;, Los malos olores, ratones y focos de enfermedades;;;;;;;
60 o más;Femenino;San Cristóbal;Estrato 1;Los horarios y frecuencias de recolección de basuras;, La inseguridad que se genera en entornos llenos de basuras;, El incremento de las tarifas del servicio público de aseo;, La basura tirada en la calle;, Todos los anteriores ;;;;;
30 a 44 años;Femenino;Engativá;Estrato 3;La falta de cultura de reciclaje en el hogar y en la ciudadanía;, El incremento de las tarifas del servicio público de aseo;, Los horarios y frecuencias de recolección de basuras;;;;;;;
45 a 59 años;Femenino;Bosa;Estrato 2;La falta de cultura de reciclaje en el hogar y en la ciudadanía;, Los horarios y frecuencias de recolección de basuras;, Los malos olores, ratones y focos de enfermedades;;;;;;;
30 a 44 años;Femenino;Engativá;Estrato 2;La basura tirada en la calle;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, El deterioro ambiental;;;;;;;
30 a 44 años;Femenino;Rafael Uribe Uribe;Estrato 3;La basura tirada en la calle;, Los malos olores, ratones y focos de enfermedades;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;;;;;;;
30 a 44 años;Masculino;Usaquén;Estrato 2;Los horarios y frecuencias de recolección de basuras;, El incremento de las tarifas del servicio público de aseo;, La inseguridad que se genera en entornos llenos de basuras;, La basura tirada en la calle;, El deterioro ambiental;, Los malos olores, ratones y focos de enfermedades;, La falta de cultura para disponer de basuras en otros lugares públicos: Parques, zonas verdes; También el daño que se genera en el funcionamiento de las alcantarillas;;
30 a 44 años;Masculino;Bosa;Estrato 3;El deterioro ambiental;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, La basura tirada en la calle;;;;;;;
30 a 44 años;Femenino;Bosa;Estrato 3;El incremento de las tarifas del servicio público de aseo;, El deterioro ambiental;, Los malos olores, ratones y focos de enfermedades;;;;;;;
18 a 29 años;Femenino;San Cristóbal;Estrato 2;El deterioro ambiental;, Los horarios y frecuencias de recolección de basuras;, Los contenedores y canecas para disposición de basuras;, Los malos olores, ratones y focos de enfermedades;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, El incremento de las tarifas del servicio público de aseo;, La basura tirada en la calle;;;
30 a 44 años;Masculino;Bosa;Estrato 2;La basura tirada en la calle;;;;;;;;;
30 a 44 años;Femenino;San Cristóbal;Estrato 2;Los contenedores y canecas para disposición de basuras;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, Los malos olores, ratones y focos de enfermedades;, La basura tirada en la calle;, El incremento de las tarifas del servicio público de aseo;;;;;
30 a 44 años;Masculino;San Cristóbal;Estrato 2;La falta de cultura de reciclaje en el hogar y en la ciudadanía;, El incremento de las tarifas del servicio público de aseo;, Los contenedores y canecas para disposición de basuras;, La basura tirada en la calle;, La inseguridad que se genera en entornos llenos de basuras;, Los malos olores, ratones y focos de enfermedades;, En el barrio la belleza de la localidad 4 de San Cristóbal, es un desatre el manejo de las basuras los días que antecede la llegada del carro, por falta de contenedores y educación de los habitantes ;;;
18 a 29 años;Masculino;Bosa;Estrato 2;La falta de cultura de reciclaje en el hogar y en la ciudadanía;;;;;;;;;
60 o más;Femenino;Ciudad Bolívar;Estrato 2;El deterioro ambiental;, La basura tirada en la calle;, Los malos olores, ratones y focos de enfermedades;;;;;;;
45 a 59 años;Femenino;San Cristóbal;Estrato 2;Los malos olores, ratones y focos de enfermedades;, La basura tirada en la calle;, El incremento de las tarifas del servicio público de aseo;, El deterioro ambiental;;;;;;
30 a 44 años;Femenino;Ciudad Bolívar;Estrato 3;El incremento de las tarifas del servicio público de aseo;, La basura tirada en la calle;, La inseguridad que se genera en entornos llenos de basuras;, Los malos olores, ratones y focos de enfermedades;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;;;;;
30 a 44 años;Femenino;San Cristóbal;Estrato 2;El incremento de las tarifas del servicio público de aseo;, Llegar el cobroven el recibo de la luz mensual y al mismo cobro que cobraban en el recibo del agua y que era cada 2 meses lo otro es que no todo bogota esta con el recibo de la luz porque esa descordinacion ;;;;;;;;
18 a 29 años;Masculino;Kennedy;Estrato 3;La falta de cultura de reciclaje en el hogar y en la ciudadanía;, Los contenedores y canecas para disposición de basuras;, Los malos olores, ratones y focos de enfermedades;;;;;;;
45 a 59 años;Masculino;Kennedy;Estrato 3;El incremento de las tarifas del servicio público de aseo;, La basura tirada en la calle;, Los malos olores, ratones y focos de enfermedades;;;;;;;
30 a 44 años;Femenino;San Cristóbal;Estrato 2;El deterioro ambiental;, Los malos olores, ratones y focos de enfermedades;, La basura tirada en la calle;;;;;;;
30 a 44 años;Femenino;Bosa;Estrato 3;La falta de cultura de reciclaje en el hogar y en la ciudadanía;, La inseguridad que se genera en entornos llenos de basuras;, Los malos olores, ratones y focos de enfermedades;;;;;;;
45 a 59 años;Femenino;Engativá;Estrato 3;La falta de cultura de reciclaje en el hogar y en la ciudadanía;, La inseguridad que se genera en entornos llenos de basuras;, Los malos olores, ratones y focos de enfermedades;;;;;;;
60 o más;Femenino;Usaquén;Estrato 2;El incremento de las tarifas del servicio público de aseo;, La inseguridad que se genera en entornos llenos de basuras;, El deterioro ambiental;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, Los malos olores, ratones y focos de enfermedades;, La basura tirada en la calle;;;;
18 a 29 años;Femenino;San Cristóbal;Estrato 2;El incremento de las tarifas del servicio público de aseo;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;;;;;;;;
45 a 59 años;Femenino;San Cristóbal;Estrato 2;La inseguridad que se genera en entornos llenos de basuras;, Los malos olores, ratones y focos de enfermedades;, El incremento de las tarifas del servicio público de aseo;, Los contenedores y canecas para disposición de basuras;, La basura tirada en la calle;, El deterioro ambiental;, Los horarios y frecuencias de recolección de basuras;, Poca generación de nuevos empleos en torno al tema del manejo de basuras;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, Recolección escombros y tarifas de esta recoleccion
60 o más;Masculino;San Cristóbal;Estrato 2;El incremento de las tarifas del servicio público de aseo;, La basura tirada en la calle;;;;;;;;
45 a 59 años;Femenino;San Cristóbal;Estrato 2;Los malos olores, ratones y focos de enfermedades;, La basura tirada en la calle;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, Los contenedores y canecas para disposición de basuras;;;;;;
45 a 59 años;Masculino;San Cristóbal;Estrato 2;El incremento de las tarifas del servicio público de aseo;;;;;;;;;
30 a 44 años;Femenino;Chapinero;Estrato 4;El incremento de las tarifas del servicio público de aseo;, Los contenedores y canecas para disposición de basuras;, La inseguridad que se genera en entornos llenos de basuras;, La basura tirada en la calle;, Los malos olores, ratones y focos de enfermedades;;;;;
30 a 44 años;Masculino;Barrios Unidos;Estrato 4;Los contenedores y canecas para disposición de basuras;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;;;;;;;;
18 a 29 años;Masculino;Antonio Nariño;Estrato 3;La basura tirada en la calle;, Los horarios y frecuencias de recolección de basuras;, El deterioro ambiental;;;;;;;
60 o más;Femenino;Kennedy;Estrato 3;La falta de cultura de reciclaje en el hogar y en la ciudadanía;, El incremento de las tarifas del servicio público de aseo;;;;;;;;
45 a 59 años;Masculino;Santa Fe;Estrato 2;Los horarios y frecuencias de recolección de basuras;, El incremento de las tarifas del servicio público de aseo;;;;;;;;
45 a 59 años;Masculino;Engativá;Estrato 3;La inseguridad que se genera en entornos llenos de basuras;, Los contenedores y canecas para disposición de basuras;, Los malos olores, ratones y focos de enfermedades;;;;;;;
45 a 59 años;Femenino;Chapinero;Estrato 5;La falta de cultura de reciclaje en el hogar y en la ciudadanía;, El deterioro ambiental;, Los malos olores, ratones y focos de enfermedades;, La basura tirada en la calle;, Los contenedores y canecas para disposición de basuras;;;;;
60 o más;Masculino;Engativá;Estrato 3;Los malos olores, ratones y focos de enfermedades;, La basura tirada en la calle;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;;;;;;;
60 o más;Femenino;San Cristóbal;Estrato 2;El deterioro ambiental;;;;;;;;;
30 a 44 años;Masculino;San Cristóbal;Estrato 2;Los horarios y frecuencias de recolección de basuras;, Los contenedores y canecas para disposición de basuras;, La basura tirada en la calle;, El deterioro ambiental;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, en los colegios de la localidad no enseñan a los estudiantes a tener cultura y respeto por el medio ambiente ;;;;
60 o más;Femenino;San Cristóbal;Estrato 1;El incremento de las tarifas del servicio público de aseo;;;;;;;;;
45 a 59 años;Femenino;San Cristóbal;Estrato 2;La basura tirada en la calle;, El incremento de las tarifas del servicio público de aseo;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, ;;;;;;
30 a 44 años;Femenino;Usaquén;Estrato 3;La falta de cultura de reciclaje en el hogar y en la ciudadanía;, El incremento de las tarifas del servicio público de aseo;, Los horarios y frecuencias de recolección de basuras;, La basura tirada en la calle;, Los contenedores y canecas para disposición de basuras;;;;;
30 a 44 años;Femenino;Usaquén;Estrato 3;Los malos olores, ratones y focos de enfermedades;, La basura tirada en la calle;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, Los contenedores y canecas para disposición de basuras;, El incremento de las tarifas del servicio público de aseo;, El deterioro ambiental;, La inseguridad que se genera en entornos llenos de basuras;;;
30 a 44 años;Masculino;Usaquén;Estrato 3;Los contenedores y canecas para disposición de basuras;, La basura tirada en la calle;, El incremento de las tarifas del servicio público de aseo;;;;;;;
45 a 59 años;Femenino;Usaquén;Estrato 3;El incremento de las tarifas del servicio público de aseo;, La basura tirada en la calle;, Los horarios y frecuencias de recolección de basuras;, Los contenedores y canecas para disposición de basuras;, Los malos olores, ratones y focos de enfermedades;, La inseguridad que se genera en entornos llenos de basuras;;;;
30 a 44 años;Masculino;Rafael Uribe Uribe;Estrato 2;El deterioro ambiental;, Los malos olores, ratones y focos de enfermedades;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, La inseguridad que se genera en entornos llenos de basuras;;;;;;
60 o más;Femenino;Suba;Estrato 5;La basura tirada en la calle;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, Los malos olores, ratones y focos de enfermedades;, El deterioro ambiental;, Los contenedores y canecas para disposición de basuras;, Falta de p9litica publica con el reciclaje ;;;;
60 o más;Femenino;Suba;Estrato 3;La falta de cultura de reciclaje en el hogar y en la ciudadanía;, La inseguridad que se genera en entornos llenos de basuras;, La basura tirada en la calle;;;;;;;
18 a 29 años;Masculino;Suba;Estrato 2;La basura tirada en la calle;, La inseguridad que se genera en entornos llenos de basuras;, Los malos olores, ratones y focos de enfermedades;;;;;;;
30 a 44 años;Masculino;Usaquén;Estrato 3;La inseguridad que se genera en entornos llenos de basuras;, Los malos olores, ratones y focos de enfermedades;, La basura tirada en la calle;, Los contenedores y canecas para disposición de basuras;;;;;;
45 a 59 años;Masculino;Usaquén;Estrato 3;El deterioro ambiental;, Los malos olores, ratones y focos de enfermedades;, Los horarios y frecuencias de recolección de basuras;, El incremento de las tarifas del servicio público de aseo;, La basura tirada en la calle;, Demasiado costoso el servicio de recolección de basuras ;;;;
30 a 44 años;Femenino;Usaquén;Estrato 3;El incremento de las tarifas del servicio público de aseo;, La basura tirada en la calle;, Los malos olores, ratones y focos de enfermedades;;;;;;;
45 a 59 años;Femenino;Usaquén;Estrato 3;La inseguridad que se genera en entornos llenos de basuras;, Los malos olores, ratones y focos de enfermedades;, Los contenedores y canecas para disposición de basuras;;;;;;;
60 o más;Femenino;San Cristóbal;Estrato 2;La falta de cultura de reciclaje en el hogar y en la ciudadanía;, La basura tirada en la calle;, El deterioro ambiental;;;;;;;
30 a 44 años;Femenino;Suba;Estrato 2;La inseguridad que se genera en entornos llenos de basuras;, Los malos olores, ratones y focos de enfermedades;, La basura tirada en la calle;;;;;;;
60 o más;Masculino;Teusaquillo;Estrato 4;Los malos olores, ratones y focos de enfermedades;, El incremento de las tarifas del servicio público de aseo;, La basura tirada en la calle;;;;;;;
45 a 59 años;Femenino;Kennedy;Estrato 3;La falta de cultura de reciclaje en el hogar y en la ciudadanía;, La basura tirada en la calle;, Los malos olores, ratones y focos de enfermedades;, El deterioro ambiental;, La inseguridad que se genera en entornos llenos de basuras;, Poca generación de nuevos empleos en torno al tema del manejo de basuras;, Los horarios y frecuencias de recolección de basuras;, El incremento de las tarifas del servicio público de aseo;, Los contenedores y canecas para disposición de basuras;
60 o más;Femenino;Kennedy;Estrato 3;Los contenedores y canecas para disposición de basuras;, Los malos olores, ratones y focos de enfermedades;, El incremento de las tarifas del servicio público de aseo;, El deterioro ambiental;, La inseguridad que se genera en entornos llenos de basuras;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, La basura tirada en la calle;;;
45 a 59 años;Femenino;San Cristóbal;Estrato 2;El deterioro ambiental;, Los malos olores, ratones y focos de enfermedades;, La basura tirada en la calle;, Los horarios y frecuencias de recolección de basuras;, El incremento de las tarifas del servicio público de aseo;;;;;
30 a 44 años;Femenino;Kennedy;Estrato 3;El incremento de las tarifas del servicio público de aseo;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, Los malos olores, ratones y focos de enfermedades;;;;;;;
60 o más;Femenino;Kennedy;Estrato 3;Los malos olores, ratones y focos de enfermedades;, El incremento de las tarifas del servicio público de aseo;, La basura tirada en la calle;, La inseguridad que se genera en entornos llenos de basuras;;;;;;
14 a 17 años;Femenino;Ciudad Bolívar;Estrato 3;Los malos olores, ratones y focos de enfermedades;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, El deterioro ambiental;, La inseguridad que se genera en entornos llenos de basuras;, La basura tirada en la calle;;;;;
60 o más;Femenino;Suba;Estrato 2;La falta de cultura de reciclaje en el hogar y en la ciudadanía;, El incremento de las tarifas del servicio público de aseo;, El deterioro ambiental;;;;;;;
45 a 59 años;Masculino;Usaquén;Estrato 3;La falta de cultura de reciclaje en el hogar y en la ciudadanía;, Los contenedores y canecas para disposición de basuras;, El incremento de las tarifas del servicio público de aseo;, El deterioro ambiental;;;;;;
60 o más;Femenino;Barrios Unidos;Estrato 4;Los malos olores, ratones y focos de enfermedades;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, El deterioro ambiental;, El incremento de las tarifas del servicio público de aseo;, La inseguridad que se genera en entornos llenos de basuras;, La basura tirada en la calle;, Poca generación de nuevos empleos en torno al tema del manejo de basuras;;;
30 a 44 años;Femenino;Ciudad Bolívar;Estrato 3;La basura tirada en la calle;, Los contenedores y canecas para disposición de basuras;, El incremento de las tarifas del servicio público de aseo;;;;;;;
60 o más;Femenino;Bosa;Estrato 3;La inseguridad que se genera en entornos llenos de basuras;, Los malos olores, ratones y focos de enfermedades;, El incremento de las tarifas del servicio público de aseo;;;;;;;
18 a 29 años;Masculino;Suba;Estrato 5;La inseguridad que se genera en entornos llenos de basuras;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, Los malos olores, ratones y focos de enfermedades;;;;;;;
30 a 44 años;Masculino;Teusaquillo;Estrato 4;La falta de cultura de reciclaje en el hogar y en la ciudadanía;, La basura tirada en la calle;, El deterioro ambiental;;;;;;;
45 a 59 años;Femenino;Usaquén;Estrato 4;La basura tirada en la calle;, El deterioro ambiental;, Los contenedores y canecas para disposición de basuras;, La inseguridad que se genera en entornos llenos de basuras;, Los malos olores, ratones y focos de enfermedades;, El incremento de las tarifas del servicio público de aseo;;;;
60 o más;Femenino;Usaquén;Estrato 4;Los malos olores, ratones y focos de enfermedades;, La inseguridad que se genera en entornos llenos de basuras;, El incremento de las tarifas del servicio público de aseo;;;;;;;
60 o más;Femenino;Suba;Estrato 3;Los malos olores, ratones y focos de enfermedades;, Los contenedores y canecas para disposición de basuras;, No hay recicladores organizados y proliferación de chulos y falta de socializacion a la ciudadanía sobre manejo de basuras y escombros; ;;;;;;
45 a 59 años;Masculino;San Cristóbal;Estrato 2;El incremento de las tarifas del servicio público de aseo;, La basura tirada en la calle;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;;;;;;;
30 a 44 años;Femenino;Teusaquillo;Estrato 4;La falta de cultura de reciclaje en el hogar y en la ciudadanía;, Los horarios y frecuencias de recolección de basuras;, La inseguridad que se genera en entornos llenos de basuras;, Los malos olores, ratones y focos de enfermedades;, Poca generación de nuevos empleos en torno al tema del manejo de basuras;, El deterioro ambiental;, El incremento de las tarifas del servicio público de aseo;, La basura tirada en la calle;, Los contenedores y canecas para disposición de basuras;
60 o más;Femenino;Kennedy;Estrato 3;El deterioro ambiental;, El incremento de las tarifas del servicio público de aseo;, Los malos olores, ratones y focos de enfermedades;, La basura tirada en la calle;, Los contenedores y canecas para disposición de basuras;, La inseguridad que se genera en entornos llenos de basuras;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, Fatal de capacidad y educación cuidadana para el manejo de residuos sólidos en propiedad horizontal ;;
30 a 44 años;Masculino;Kennedy;Estrato 2;El deterioro ambiental;, Los malos olores, ratones y focos de enfermedades;, La basura tirada en la calle;;;;;;;
45 a 59 años;Masculino;Teusaquillo;Estrato 3;Los malos olores, ratones y focos de enfermedades;, La inseguridad que se genera en entornos llenos de basuras;, El deterioro ambiental;;;;;;;
45 a 59 años;Masculino;Usaquén;Estrato 5;Los malos olores, ratones y focos de enfermedades;, La inseguridad que se genera en entornos llenos de basuras;, La basura tirada en la calle;, El deterioro ambiental;, Los contenedores y canecas para disposición de basuras;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;;;;
45 a 59 años;Masculino;San Cristóbal;Estrato 2;La basura tirada en la calle;, El incremento de las tarifas del servicio público de aseo;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;;;;;;;
45 a 59 años;Femenino;San Cristóbal;Estrato 2;Los malos olores, ratones y focos de enfermedades;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, El incremento de las tarifas del servicio público de aseo;, La basura tirada en la calle;;;;;;
60 o más;Femenino;San Cristóbal;Estrato 2;El incremento de las tarifas del servicio público de aseo;, La basura tirada en la calle;, La inseguridad que se genera en entornos llenos de basuras;;;;;;;
60 o más;Femenino;Fontibón;Estrato 3;Los contenedores y canecas para disposición de basuras;, Los malos olores, ratones y focos de enfermedades;, La inseguridad que se genera en entornos llenos de basuras;;;;;;;
45 a 59 años;Masculino;Teusaquillo;Estrato 3;La basura tirada en la calle;, La inseguridad que se genera en entornos llenos de basuras;, El desorden generado por habitantes de calle y carreteros;;;;;;;
30 a 44 años;Femenino;Engativá;Estrato 2;El incremento de las tarifas del servicio público de aseo;;;;;;;;;
45 a 59 años;Femenino;Teusaquillo;Estrato 4;El deterioro ambiental;, La inseguridad que se genera en entornos llenos de basuras;, Los contenedores y canecas para disposición de basuras;, Poca generación de nuevos empleos en torno al tema del manejo de basuras;, El incremento de las tarifas del servicio público de aseo;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, La basura tirada en la calle;, Los malos olores, ratones y focos de enfermedades;;
18 a 29 años;Femenino;Santa Fe;Estrato 2;El deterioro ambiental;, El incremento de las tarifas del servicio público de aseo;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, La basura tirada en la calle;;;;;;
18 a 29 años;Femenino;Santa Fe;Estrato 2;Los malos olores, ratones y focos de enfermedades;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, El incremento de las tarifas del servicio público de aseo;;;;;;;
30 a 44 años;Femenino;San Cristóbal;Estrato 2;La basura tirada en la calle;, El deterioro ambiental;, El incremento de las tarifas del servicio público de aseo;, La inseguridad que se genera en entornos llenos de basuras;, Los malos olores, ratones y focos de enfermedades;;;;;
60 o más;Masculino;San Cristóbal;Estrato 2;Los horarios y frecuencias de recolección de basuras;, Los contenedores y canecas para disposición de basuras;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, Los malos olores, ratones y focos de enfermedades;, La basura tirada en la calle;, La inseguridad que se genera en entornos llenos de basuras;, El incremento de las tarifas del servicio público de aseo;, El deterioro ambiental;;
45 a 59 años;Femenino;Usaquén;Estrato 4;El deterioro ambiental;, La inseguridad que se genera en entornos llenos de basuras;, El incremento de las tarifas del servicio público de aseo;;;;;;;
45 a 59 años;Femenino;San Cristóbal;Estrato 3;Los malos olores, ratones y focos de enfermedades;, La basura tirada en la calle;;;;;;;;
45 a 59 años;Femenino;Kennedy;Estrato 3;Los contenedores y canecas para disposición de basuras;, La basura tirada en la calle;, El incremento de las tarifas del servicio público de aseo;, El deterioro ambiental;;;;;;
18 a 29 años;Femenino;Ciudad Bolívar;Estrato 1;La inseguridad que se genera en entornos llenos de basuras;, Los contenedores y canecas para disposición de basuras;, El deterioro ambiental;, Los malos olores, ratones y focos de enfermedades;;;;;;
30 a 44 años;Femenino;San Cristóbal;Estrato 2;La basura tirada en la calle;, La inseguridad que se genera en entornos llenos de basuras;, El incremento de las tarifas del servicio público de aseo;;;;;;;
30 a 44 años;Femenino;Usme;Estrato 2;La falta de cultura de reciclaje en el hogar y en la ciudadanía;, El incremento de las tarifas del servicio público de aseo;, El deterioro ambiental;;;;;;;
45 a 59 años;Masculino;Usme;Estrato 2;La basura tirada en la calle;, El deterioro ambiental;, El incremento de las tarifas del servicio público de aseo;, Los horarios y frecuencias de recolección de basuras;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;;;;;
30 a 44 años;Femenino;Engativá;Estrato 3;Los malos olores, ratones y focos de enfermedades;, La inseguridad que se genera en entornos llenos de basuras;, La basura tirada en la calle;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, El incremento de las tarifas del servicio público de aseo;;;;;
60 o más;Femenino;San Cristóbal;Estrato 2;Los contenedores y canecas para disposición de basuras;, La basura tirada en la calle;, El deterioro ambiental;;;;;;;
30 a 44 años;Femenino;Usme;Estrato 2;Los contenedores y canecas para disposición de basuras;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, La inseguridad que se genera en entornos llenos de basuras;;;;;;;
