1. Edad;2. Sexo;3. ¿En qué Localidad vive?;4. Los recibos de servicios públicos que recibe en su hogar, corresponden a: ;Primera respuesta seleccionada;Segunda respuesta seleccionada;Tercera respuesta seleccionada;;;;;;;
30 a 44 años;Femenino;Suba;Estrato 3;El incremento de las tarifas del servicio público de aseo;, Los contenedores y canecas para disposición de basuras;, La basura tirada en la calle;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, La inseguridad que se genera en entornos llenos de basuras;, Los malos olores, ratones y focos de enfermedades;, Los habitantes que duermen en las canecas ;;;
30 a 44 años;Femenino;Puente Aranda;Estrato 3;La basura tirada en la calle;, El incremento de las tarifas del servicio público de aseo;, La inseguridad que se genera en entornos llenos de basuras;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, El deterioro ambiental;;;;;
60 o más;Femenino;Santa Fe;Estrato 2;Los malos olores, ratones y focos de enfermedades;, La basura tirada en la calle;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, El incremento de las tarifas del servicio público de aseo;;;;;;
30 a 44 años;Femenino;Fontibón;Estrato 3;La basura tirada en la calle;, Los contenedores y canecas para disposición de basuras;, Los malos olores, ratones y focos de enfermedades;, El incremento de las tarifas del servicio público de aseo;;;;;;
45 a 59 años;Masculino;Teusaquillo;Estrato 3;El incremento de las tarifas del servicio público de aseo;, La basura tirada en la calle;, La inseguridad que se genera en entornos llenos de basuras;, El deterioro ambiental;;;;;;
18 a 29 años;Masculino;Bosa;Estrato 2;La falta de cultura de reciclaje en el hogar y en la ciudadanía;, Poca generación de nuevos empleos en torno al tema del manejo de basuras;, La basura tirada en la calle;;;;;;;
30 a 44 años;Femenino;Fontibón;Estrato 3;Los malos olores, ratones y focos de enfermedades;, El incremento de las tarifas del servicio público de aseo;, El deterioro ambiental;;;;;;;
45 a 59 años;Femenino;Usaquén;Estrato 4;Los malos olores, ratones y focos de enfermedades;, La inseguridad que se genera en entornos llenos de basuras;, El deterioro ambiental;, El incremento de las tarifas del servicio público de aseo;;;;;;
30 a 44 años;Masculino;Barrios Unidos;Estrato 4;El incremento de las tarifas del servicio público de aseo;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, Los contenedores y canecas para disposición de basuras;, Poca generación de nuevos empleos en torno al tema del manejo de basuras;;;;;;
45 a 59 años;Femenino;Kennedy;Estrato 3;El deterioro ambiental;, Los malos olores, ratones y focos de enfermedades;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;;;;;;;
60 o más;Femenino;Fontibón;Estrato 3;La falta de cultura de reciclaje en el hogar y en la ciudadanía;, La inseguridad que se genera en entornos llenos de basuras;, El deterioro ambiental;;;;;;;
60 o más;Femenino;Puente Aranda;Estrato 3;El incremento de las tarifas del servicio público de aseo;, La falta de cultura de reciclaje en el hogar y en la ciudadanía;, El deterioro ambiental;;;;;;;
